area,date,description,price,size
 (BUSHWICK),1/28/2020 9:53,Massive 2 bed 1 bath around the corner from Dekalb L!,"$2,499 ",900ft
 (bushwick),1/28/2020 9:51,"Large 2 bedrooms apartment - TRAINS L,M","$2,495 ",2br -
 (Carroll gardens),1/28/2020 9:31,Lovely one bedroom in Carroll gardens with private backyard,"$3,600 ",1br -
 (✔️💚 Stuyvesant  Heights 💚✔️),1/28/2020 9:16,Stuyvesant  Heights JEWEL💚NO FEE+1 MONTH FREE RENT💚WON'T LAST LONG💚,"$2,625 ",3br -
 (✔️💚 Stuyvesant  Heights 💚✔️),1/28/2020 9:10,✔️Stuyvesant  Heights✔️NO FEE+1 MONTH FREE💚LAUNDRY💚HUGE BACKYARD,"$2,625 ",2br -
 (Ditmas Park),1/28/2020 9:04,Ditmas Park Modern Studio,"$1,895 ",400ft
 (Bed-Stuy),1/28/2020 9:03,"Bed-Stuy Jewel💚WON'T LAST LONG💚Laundry💚A,C🚆TRULY A MUST C👀👈","$2,150 ",1br -
 (Brooklyn Heights),1/28/2020 8:44,Charming Studio in BK Heights,"$1,875 ",
 (Bushwick),1/28/2020 8:37,No fee!- New Construction- Premium finishes!-  By the L/M trains,"$2,495 ",2br -
" (Brooklyn,queens,or bronx)",1/28/2020 6:45,Looking for low income studio apartment,$900 ,
 (Park Slope),1/28/2020 0:47,🚫 NO FEE 🚫 2BR APT PARK SLOPE gowanus greenwood industry city sunset,"$2,200 ",2br -
 (Brooklyn NY),1/27/2020 23:40,Spacious 3 Bedroom Apartment,"$2,500 ",3br -
 (Crown Heights),1/27/2020 22:54,CROWN HEIGHTS ~ 3BR | 3 BATH ~ DUPLEX~ NEWLY RENOVATED ~ NO FEE!,"$6,800 ",3br -
 (Marine Park),1/27/2020 22:42,Amazing 2 bed apartment (NO FEE),"$1,799 ",2br -
 (Flatlands),1/27/2020 22:27,RENOVATED 2 BEDROOMS (NO FEE),"$1,999 ",2br -
 (East Flatbush),1/27/2020 22:10,Spacious 4 bed apartment (NO FEE),"$2,799 ",4br -
 (Crown Heights),1/27/2020 21:54,Beautiful 3 bed apartment(NO FEE),"$2,999 ",3br -
 (Greenpoint/East Williamsburg),1/27/2020 21:50,NO FEE Sunny Greenpoint/East Wburg Railroad Apt for Rent,"$3,000 ",2br -
 (Downtown Brooklyn),1/27/2020 21:45,"Corner unit High ceiling*months free+No fee,0-$1000 deposit opt*wash/d","$4,219 ",2br -
 (East Flatbush),1/27/2020 21:39,Amazing 3 bed apartment (No Fee),"$2,599 ",3br -
 (Crown Heights / Weeksville),1/27/2020 21:38,2/1 Rent-stabilized pet-friendly penthouse in Crown Heights,"$2,400 ","1br -
                    650ft"
 (CROWN HEIGHTS),1/27/2020 21:17,SPACIOUS 3 BED APARTMENT (NO FEE),"$2,850 ",3br -
 (Williamsburg),1/27/2020 21:16,**MARCH 1**NO FEE**Parking/Laundry/Exposed Brick**,"$4,295 ",2br -
 (WILLIAMSBURG),1/27/2020 21:12,**Available Immediately**No Fee**Gym/Private Yard/Laundry**,"$3,999 ",2br -
 (Williamsburg),1/27/2020 21:02,**NO FEE**Loft**Feb 1st**Laundry in Building**,"$2,849 ",
" (Stuyvesant Heights, Brooklyn, NY)",1/27/2020 20:48,HIIYOOOO!!! AWESOME 1BR AVAILABLE in BEDSTUY ⚡️⚡️,"$1,899 ",1br -
 (Williamsburg),1/27/2020 20:48,**March 1**3BR No Fee**Outdoor Space**,"$3,249 ",3br -
 (East New York),1/27/2020 20:44,2-BEDROOM IN EAST NEW YORK,"$1,750 ",2br -
 (Williamsburg),1/27/2020 20:39,**No Fee**Cats Only**Tons of Sunlight/Large Rooms**,"$3,595 ",2br -
" (Williamsburg, Brooklyn)",1/27/2020 19:57,Furnished 2BR Penthouse With Amazing Views,"$4,800 ",2br -
" (WILLIAMSBURG__""L"" MORGAN__J & M FLUSHING STOP_______)",1/27/2020 19:56,"__""LOFT""__GIGANTIC__WITH 4 RMS.____LOTS OF WINDOWS____NO FEE__________","$3,595 ",4br -
 (SUNSET PARK -------EDWIN EGA - 347-432-6463),1/27/2020 19:56,Sunset__NO FEE__1.5 br__$1800__2 br__$2200__4 UNITS__Park Slope Sunset,"$2,000 ",2br -
 (Canarsie),1/27/2020 19:36,NEWLY RENOVATED STUDIO APT FOR RENT/utilities included,"$1,000 ",
 (Crown Heights),1/27/2020 19:36,Great 4 bed apartment (NO FEE),"$3,439 ",4br -
 (Bed-Stuy),1/27/2020 19:25,"Beautiful Sunny Studio, Great Location","$1,825 ",
 (Bedford Stuyvesant),1/27/2020 19:24,"$1,900  Huge 2 bedrm! Ground Floor  with Backyard Access Near Subway","$1,900 ",2br -
 (Crown Heights @  2 3 4 5 trains),1/27/2020 19:13,Beatifull block! Nice 4 br 2 ba apartment exposed brick walls,"$4,099 ",4br -
 (Stuyvestant Heights @ A C trains),1/27/2020 19:12,Great city view! Beatiful 2 br apartment laundry A/C,"$2,325 ",2br -
 (🛑 SUNSET PARK ----EDWIN EGA - 347-432-6463),1/27/2020 18:54,Sunset Park__1 BR Brownstone__near EXPRESS TRAIN___Park Slope South,"$2,095 ",1br -
 (Greenpoint),1/27/2020 18:51,1 Bedroom sublet in Gpoint!! FURNISHED,"$2,850 ",1br -
" (FLATBUSH - 2,5 TRAINS @ NEWKIRK AVE STATION, B,Q TRAINS @ NE)",1/27/2020 18:50,* MODERN DUPLEX APT * 3 BEDROOMS 2 FULL BATHS * PRIVATE BACKYARD *,"$3,095 ",3br -
" (SUNSET PARK,INDUSTRY CITY VICINITY)",1/27/2020 18:50,"SUNSET PARK,INDUSTRY CITY VICINITY.ALL NEW S/S APPS.NO FEE,HUGE OPEN S","$1,850 ",590ft
" (SUNSET PARK,INDUSTRY CITY VICINITY)",1/27/2020 18:42,"SUNSET PARK,INDUSTRY CITY VICINITY.ALL NEW S/S APPS.NO FEE,IMMEDIATE A","$1,950 ","1br -
                    690ft"
 (Greenpoint),1/27/2020 18:35,Brand New 1 Bedroom in Greenpoint!!,"$2,850 ","1br -
                    650ft"
" (Crown Heights, Brower Park)",1/27/2020 18:34,Gorgeous fully furnished 3 bed/2 full bath in-unit laundry short-term!,"$3,600 ",3br -
 (Downtown Brooklyn),1/27/2020 18:30,"Corner unit High ceiling*months free+No fee,0-$1000 deposit opt*wash/d","$4,219 ",2br -
 (East New York),1/27/2020 18:22,"💫Brand new renovated 2Br. Short walk to the 2,3,4 trains. NO FEE!💫","$1,950 ",2br -
 (Bedford Stuyvesant),1/27/2020 18:21,Amazing 3BR/2 Bath with private backyard...NO FEE...Laundry....Must Se,"$3,650 ",3br -
 (Windsor Terrace),1/27/2020 18:20,Spacious 1 bedroom apartment in Windsor Terrace- NO FEE!,"$2,825 ","1br -
                    776ft"
 (Bedford Stuyvesant),1/27/2020 18:20,Newly renovated 2BR  Close to C and JMZ trains. No Fee!,"$2,100 ",2br -
 (Bedford Stuyvesant),1/27/2020 18:19,Spacious 4 bedroom in Bedford-Stuyvesant-NOFEE!,"$3,941 ",4br -
 (Bushwick),1/27/2020 18:18,Spacious 2 bedroom apartment in Bushwick-NOFEE!,"$2,500 ",2br -
 (Windsor Terrace),1/27/2020 18:17,Spacious Stduio apartment in Windsor Terrace-NOFEE!,"$2,250 ",
 (Bedford Stuyvesant),1/27/2020 18:16,Spacious 3br /2 Bath in Bedford Stuyvesant. | NO FEE!~,"$3,475 ",3br -
 (Park Slope),1/27/2020 18:16,NO FEE! 4BR / 2BA in Park Slope ___ Huge private TERRACE ___ Must see,"$5,633 ",4br -
 (Flatlands),1/27/2020 18:15,Beautiful 2 bed apartment (NO FEE),"$1,999 ",2br -
 (East New York),1/27/2020 18:15,Brand new renovated 3br 1.5ba - parking available - no fee,"$2,400 ",3br -
 (Clinton Hill),1/27/2020 18:14,Beautiful 4 bed 2 Bath in Clinton Hill!S.S Appl!Marble Baths!Duplex!!*,"$3,999 ",4br -
 (Brooklyn Heights),1/27/2020 18:13,Spacious 1 Bedroom in Brooklyn Heights.,"$3,250 ",1br -
 (Bushwick),1/27/2020 18:13,Great 1 bedroom apartment in Bushwick-NOFEE,"$2,100 ",1br -
 (Bedford Stuyvesant),1/27/2020 18:12,Brand new gorgeous 1br in luxury building - no fee,"$2,740 ",1br -
 (Bushwick),1/27/2020 18:11,Brand new luxury 1br duplex / flex 2br - backyard - laundry in buildin,"$2,900 ",2br -
 (Ditmas Park),1/27/2020 18:10,Stunning 2 Bed 2 Bath in Ditmas Park!S.S Appl!Laundry!Balcony!No fee!*,"$2,750 ",2br -
 (Bedford Stuyvesant),1/27/2020 18:09,Beautiful 3 Bed in Bed-Stuy!S.S Appl!No Fee!Heat  Water Included!Gem*,"$2,265 ",3br -
 (Bedford Stuyvesant),1/27/2020 18:08,Great  2 bedroom apartment in Bedford Stuyvesant-NOFEE!,"$2,265 ",2br -
 (Ditmas Park),1/27/2020 18:07,Must see ___ Condo 2BR / 2BA for rent ___ No fee,"$2,887 ",2br -
 (East Williamsburg),1/27/2020 18:06,Williamsburg LOFT,"$3,499 ",
 (Ditmas Park),1/27/2020 18:06,Condo quality 2br 2ba - elevator - laundry in building - no fee,"$2,730 ",2br -
 (Crown Heights),1/27/2020 18:03,"Crown Hts ~Near Barclays cntr~6+ Beds~7.5 Baths, all new modern look,","$13,850 ","7br -
                    3000ft"
 (Red Hook),1/27/2020 18:01,Spacious Brownstone one bedroom in Red Hook,"$2,000 ",1br -
 (Stuyvesant Heights @ Ralph),1/27/2020 17:56,Amazing Deal!!! - 1 bedroom w/sep living room/office,"$1,309 ",1br -
,1/27/2020 17:46,*SMOKIN* NO FEE GIANT 3 BED IN SEXY PROSPECT LEFFERTS GARDENS,"$2,695 ",3br -
,1/27/2020 17:45,** HOT HUGE UNDER PRICED 2 BR IN PRIME PLG!! *CHEAP*,"$1,995 ",2br -
,1/27/2020 17:44,"*DEAL* PLG studio!! RENT STABILIZED!! By B, Q & S Trains!! *SEXY*","$1,495 ",
 (Brooklyn Heights),1/27/2020 17:37,WOW! Upgraded 2BR/2BA 928 SQFT! Storage! Near Montague,"$4,475 ","2br -
                    928ft"
 (Brooklyn Heights),1/27/2020 17:27,Just In! 2BR/2 Full Bath! 1100 SQFT! Near Montague St!,"$4,800 ","2br -
                    1100ft"
 (Fort Greene),1/27/2020 17:26,Gigantic 2 bedroom in the Middle of Everything,"$3,300 ","2br -
                    900ft"
 (Crown Heights),1/27/2020 17:13,Amazing 1 Bedroom apartment (NO FEE),"$2,099 ",1br -
 (Crown Heights),1/27/2020 17:10,Crown Heights~Newly Reno~ 3 BEDS 2 BATHS IN UNIT W/D~EXPOSED BRICK WAL,"$3,542 ",3br -
 (Ditmas Park @ B & Q subway),1/27/2020 17:10,Very nice spacious pre war 2 bedroom apartment,"$2,199 ",2br -
 (crown heights),1/27/2020 17:05,Beautiful 3 bed in CH with w/d in unit!!!,"$4,100 ",3br -
 (Stuyvasant Heights @A & C subway),1/27/2020 17:05,Very nice 2 bedroom in a great area!,"$2,325 ",2br -
 (williamsburg),1/27/2020 17:00,This apt is🔥🔥🔥🔥prime W'burg--amazing bldg,"$4,400 ",2br -
 (bed-stuy),1/27/2020 16:52,❤❤Gorgeous 1bed in elevator bldg w/ mad amenities!!❤❤,"$2,700 ",1br -
 (Mill Basin),1/27/2020 16:48,"Very nice spacious 2 bedroom, Balcony! Private house!","$2,199 ",2br -
 (williamsburg),1/27/2020 16:44,🤷what could be better than this apt??🤷,"$4,950 ",3br -
 (Downtown Brooklyn),1/27/2020 16:42,"Corner unit High ceiling*months free+No fee,0-$1000 deposit opt*wash/d","$4,219 ",2br -
 (crown heights),1/27/2020 16:25,NO FEE! Newly Renovated 3 BR in Crown Heights Townhouse,"$2,900 ",2br -
,1/27/2020 16:21,"CROWN HEIGHTS💓NO FEE BRAND NEW 3BR,2BA APT,W/D IN UNIT,TERRACE,A TRAI","$3,254 ",3br -
 (bushwick),1/27/2020 16:19,NO FEE! 3 Bed 2 Bath with Yard!,"$3,117 ",3br -
,1/27/2020 16:11,"BEDSTUY🔥BRAND NEW 1BR DUPLEX W/PRIVATE BACK YARD,A/C/J/Z/L TRAINS","$2,156 ","1br -
                    700ft"
,1/27/2020 16:04,"BUSHWICK💙NO FEE BRAND NEW 1BR APT,LAUNDRY,WALKING CLOSET,JZ TRAIN","$2,099 ",1br -
,1/27/2020 16:02,"STUYVESANT HEIGHTS🌈NO FEE GORGEOUS 3BR APT,CHEF'S KITCHEN,LAUNDRY,JZ","$2,625 ",3br -
 (BUSHWICK),1/27/2020 16:01,Massive 3 bed 1.5 bath duplex! Laundry! Gym! Backyard Patio! Roof! WOW,"$3,599 ","3br -
                    1200ft"
 (bushwick),1/27/2020 16:00,Studio apt in Bushwick W/D in unit,"$2,475 ",350ft
 (Dyker Heights),1/27/2020 15:59,Well Kept One Bedroom Apt,"$1,600 ","1br -
                    625ft"
,1/27/2020 15:59,"BEDSTUY🔥NO FEE GORGEOUS 1BR APT,LAUNDRY,EXPOSE BRICK,A TRAIN","$2,150 ",1br -
 (Crown Heights @ Kingston),1/27/2020 15:46,Spacious 4 bedroom in Crown Heights - Huge Bedrooms - No Fee!,"$2,999 ",4br -
 (Bushwick),1/27/2020 15:45,Spacious 3 Bedroom 1.5 Bath off Dekalb L,"$3,300 ",3br -
 (Bedstuy @ Gates J),1/27/2020 15:41,3br- Amazing deal!!- Backyard access- No Fee! Available for immediate move in,"$2,600 ",3br -
 (Crown Heights),1/27/2020 15:28,"🤍Crown Heights🤍Amazing 2brs🤍A,C🚆🤍On-Site Laundry🤍","$2,887 ",3br -
 (bedford stuyvesant),1/27/2020 15:21,Beautiful Large Sunny One Bedroom* Key Location*Central Air* Hurry,"$1,799 ",1br -
 (BROOKLYN),1/27/2020 15:15,HOT OPPORTUNITY 2 BEDROOM APART BUSHWICK,"$2,300 ","2br -
                    1100ft"
 (Brooklyn),1/27/2020 15:15,"Brand new 1 bed close to trains in BedStuy, Luxury building, No Fee!","$2,305 ",1br -
" (WILLIAMSBURG__""L"" MORGAN__J & M FLUSHING STOP_______)",1/27/2020 15:08,"_""LOFT""_GIGANTIC__1500 SQ. FT.___""BRAND NEW""__LOTS OF WINDOWS___NO FEE","$5,499 ",1br -
" (WILLIAMSBURG__""L"" MORGAN__J & M FLUSHING STOP_______)",1/27/2020 15:06,"___ALL OPEN___NEW__""LOFT""____""ARTIST & MUSICIANS  WELCOMED""____NO FEE_","$2,999 ",
 (Brooklyn Heights),1/27/2020 15:02,HUGE 1 BEDROOM / 1.5 BATH ON THE 17TH FLOOR WITH SPECTACULAR VIEWS,"$4,485 ",1br -
 (Bedstuy @ Myrtle-Willoughby G train),1/27/2020 15:01,Cute 1 bed on the boarder of Bedstuy and Clinton Hill! No Fee!,"$1,950 ",1br -
 (Crown Heights @ Nostrand Ave 3 Train Stop),1/27/2020 15:01,Great Deal! Beautiful Spacious Crown Heights 3 Bed No Fee,"$3,250 ",3br -
 (Crown Heights @ Nostrand Ave 3 Train Stop),1/27/2020 15:00,Great Location! Beautiful Modern Crown Heights 4 Bed! No Fee,"$4,100 ",4br -
 (Bedstuy @ Gates J and Z train),1/27/2020 15:00,Massive Bedstuy 3-4 Bed with huge basement & shared backyard! No fee!,"$3,399 ",4br -
 (Bedstuy @ Utica A and C train stop),1/27/2020 14:59,Great Location! Beautiful Modern Bedstuy 2 Bed. No Fee!,"$2,325 ",2br -
 (bedstuy @ Utica A and C train stop),1/27/2020 14:58,Great Deal!! Floor through Bedstuy 3 Bed w/Backyard Access! No Fee,"$2,599 ",3br -
 (Clinton Hill),1/27/2020 14:54,"No Broker Fee 2BR, Great for Commuters, Tons of Storage by Owner","$2,999 ",2br -
 (Crown Heights),1/27/2020 14:50,NO FEE 3 BED 3 BATH - WASHER/DRYER IN UNIT - ROOFTOP,"$4,000 ",3br -
 (Brooklyn),1/27/2020 14:50,Beautiful Huge 2BR Apartment Heart of Bedstuy,"$2,750 ",2br -
 (brooklyn),1/27/2020 14:48,NO FEE! Stunning New 2 Bed w Dishwasher/Laundry/Garden,"$2,500 ",2br -
 (Bushwick),1/27/2020 14:48,* Bushwick * No fee New 2Br High end Spcaious * Laundry & roof * Ready,"$2,495 ","2br -
                    850ft"
 (PLG/Flatbush),1/27/2020 14:41,Prospect Lefferts Gardens - XLarge 3 Bedroom - H/H included - NO FEE!!,"$2,500 ","3br -
                    1000ft"
 (Midwood (Kings Hwy)),1/27/2020 14:38,Fully renovated studio steps from everything you need!,"$1,300 ",
 (Brooklyn),1/11/2020 14:03,"House for rent $4,800 mth Brighton/ Manhattan Beach","$4,800 ","4br -
                    2500ft"
 (BEDSTUY / STUYVESANT HEIGHTS),1/11/2020 13:54,"STUYVESANT HEIGHTS, BEDSTUY GEM OF A 1BED ONLY 1900 ! BRING YOUR CAT !","$1,899 ",1br -
 (SUNSET PARK -------EDWIN EGA - 347-432-6463),1/11/2020 13:47,Sunset Park__NO FEE__2 br__$1800 - $2200__4 avail_____Park Slope South,"$2,200 ",2br -
 (Brooklyn),1/11/2020 13:44,"3 Bedroom Apt in N. Williamsburg, BK (Avail. Jan 15 or Feb 1) NO FEE","$3,650 ","3br -
                    600ft"
 (CROWN HEIGHTS / PROSPECT HEIGHTS),1/11/2020 13:43,"EXPOSED BRICK 2 BED, A/C SUBWAYS. PERFECT LOCATION, CLOSE TO FRANKLIN","$2,550 ",2br -
 (Bushwick),1/11/2020 13:39,Renovated 1bed/1bath in Bushwick near L and JMZ Trains!!!,"$2,050 ",
" (@Sterling/President  2,5 Train & Prospect Park B,Q,S Train)",1/11/2020 13:28,Spacious Sunny 3BR w/ Big Private Backyard! - NO FEE!,"$2,850 ",3br -
 (SUNSET PARK -------EDWIN EGA - 347-432-6463),1/11/2020 13:10,Sunset Park__2 br @ Industry City____Park Slope South,"$2,300 ",2br -
 (Greenpoint Av - G),1/11/2020 13:09,Sweet Greenpoint Studio w Lofted Sleeping Area & Private Yard!,"$2,600 ",
 (Bensonhurst__Mapleton ----------EDWIN EGA - 347-432-6463),1/11/2020 12:57,Bensonhurst_3 BR_Balcony__NO/BAD CREDIT OKAY__Mapleton__sunset park,"$2,150 ",3br -
 (SUNSET PARK -------EDWIN EGA - 347-432-6463),1/11/2020 12:54,Sunset Park__NO FEE__MASSIVE__2 br__Park Slope South Industry City,"$2,500 ",2br -
 (Crown Heights-Brooklyn),1/11/2020 12:28,Furnished 1 Bedroom Apt Sublet (Not a Share),"$2,200 ","1br -
                    900ft"
 (SUNSET PARK -------EDWIN EGA - 347-432-6463),1/11/2020 12:26,Greenwood__2 br__BACKYARD___Sunset Park Slope South Industry City Park,"$2,395 ",2br -
" (Bushwick - Myrtle JM, Morgan L, Central M)",1/11/2020 12:05,No Fee! Bushwick 2 Bed 2 Bath in Rad Full Amentity Building!,"$3,500 ",2br -
 (Crown Heights),1/11/2020 11:23,A magnificent four-story townhouse in the heart of the beautiful Crown,"$8,450 ",5br -
 (Bushwick),1/11/2020 11:09,"Newly renovated 3BR/2Bath in Bushwick, close to J,L trains. NO FEE!","$2,799 ",3br -
 (Brooklyn Heights),1/11/2020 11:07,COURT ST / NEWLY RENOVATED / LOFT LIKE,"$2,792 ","1br -
                    520ft"
 (Brooklyn (Bensonhurst)),1/11/2020 11:07,NO SEC DEPOSIT! Apartment in a Building next to Park 718-373-6000,"$1,695 ",1br -
 (Brooklyn),1/11/2020 11:01,Apartment w/Terrace & Ocean View in Doorman Building 718-979-1400,"$1,795 ",1br -
" (Flatbush, Prospect Park South, Lefferts Gardens)",1/11/2020 10:57,Extra Large 1 Bedroom in Perfect Location,"$1,850 ",1br -
 (BUSHWICK),1/11/2020 10:52,High End newly renovated 2 Bedroom below Market Value,"$2,500 ",
 (Brooklyn College area (Flatbush)),1/11/2020 10:41,Massive Sized Studio in Quite Location,"$1,400 ",
 (VanBrunt Dikeman  ST),1/11/2020 10:31,Red Hook Cozy One Bedroom $1540.00,"$1,540 ",1br -
 (Prospect heights),1/11/2020 10:29,"NEW LaRGE 2 BED DUPLEX ..S,C,2,3,4,5,B,Q TRAIN.. ELEVATOR.. 2 BALCONY","$2,800 ",2br -
 (Brooklyn (Bensonhurst)),1/11/2020 10:28,NO SEC DEPOSIT! Apartment in Doorman Waterfront Building next to Park,"$1,795 ",1br -
 (Sheepshead bay / gravesend),1/11/2020 10:28,"NeW HuGE ONE BeD..B,Q,F TRAIN..PRIME LOCALE..SUNNY..DINING ROOM..","$1,700 ",1br -
 (Midwood),1/11/2020 10:18,Apartment in Midwood by Atlantic Management 718-373-6000,"$1,795 ",1br -
 (Sheepshead Bay),1/11/2020 10:17,NO SEC DEP! Apartment in Sheepshead Bay Building w/Swimming Pool,"$2,295 ",2br -
 (Brooklyn (Bensonhurst)),1/11/2020 10:14,NO SEC DEPOSIT! Apartment in a Building next to Park 718-373-7700,"$1,795 ",1br -
 (Prospect Lefferts Garden),1/11/2020 9:56,Spacious Apartment in Townhouse with Backyard and Utilities Included,"$2,200 ","2br -
                    1000ft"
 (Brooklyn),1/11/2020 9:39,Bright 2br Apartment in Red Hook,"$3,250 ",2br -
 (BED STEY),1/11/2020 9:27,NO FEE**GORGEOUS TWO BEDROOM ON QUINCY ST**PRIVATE DECK**,"$2,290 ",2br -
 (Weeksville @ A C trains),1/11/2020 9:24,Nice 3 br 1.5 apartment with backyard,"$2,599 ",3br -
 (Lefferts Gardens),1/11/2020 9:23,PERFECT 1 bedroom minutes to Prospect Park! ACT FAST!,"$1,725 ","1br -
                    700ft"
 (Ridgewood @ M train),1/11/2020 9:23,Modern building! Spacious Duplex 2 br 1.5 apartment!Lots of amenities,"$3,399 ",3br -
 (Brooklyn),1/11/2020 9:19,NO FEE 2 bedroom with king sized bed and walk in closet,"$4,030 ",2br -
 (Brooklyn),1/11/2020 9:17,NO FEE BEAUTIFUL SOUTH FACING STUDIO - brand new,"$2,270 ",
 (Bed Stuy/Bushwick),1/11/2020 8:34,"Stunning 1.5 bed, Huge apt with Exposed Brick & Backyard","$1,999 ",2br -
 (Lefferts Gardens),1/11/2020 8:12,"**Under-Priced Spacious 1 Bedroom, close to Prospect Park, In Lefferts","$1,600 ","1br -
                    650ft"
 (Bed Stuy),1/11/2020 8:02,Under-Priced Lovely spacious 3BR/2BA In a Beautiful Townhouse!,"$2,599 ","3br -
                    1000ft"
 (Midwood/ Ocean Pkway/ Avenue W vic.),1/11/2020 7:46,PRICE DROP-For JAN. ONLY- NO FEE-Large/3 Bedroom/Owner-917-410-0315,"$2,200 ","3br -
                    1500ft"
 (Midwood/ Ocean Pkwy/ Avenue M),1/11/2020 7:45,NO FEE-Large 1 Bedroom/ Owner- NO FEE- 917-410-0315 - Amazing View,"$1,700 ","1br -
                    900ft"
 (Williamsburg  GreenPoint),1/11/2020 2:26,"Beautiful and spacious 1 bedroom, Laundry, dishwasher, Roof Deck","$2,850 ",1br -
 (Ocean Hill),1/11/2020 2:26,"Spacious 4 bedroom, Bright, price is cheap to rent quick","$2,700 ",4br -
 (sheepshead bay),1/11/2020 2:25,"3 bed with parking. great location, next to B Q train on Sheepshead","$2,299 ",
 (Williamsburg),1/11/2020 2:24,"Renovated 2 bed, dishwasher, great location, no broker fee","$2,599 ",2br -
 (RedHook Red Hook),1/11/2020 2:24,"Two bedroom plus basement (duplex) Dishwasher, parking available","$2,385 ",2br -
 (Clinton Hill),1/11/2020 1:38,"Srsly a gym, washer/dryer in unit, roof & backyard...2.6k? YAS☀","$2,650 ",
 (Williamsburg),1/11/2020 1:27,2 bedroom✔ Marcy J/M✔ No fee✔ Feb or March 1✔,"$2,300 ",2br -
 (Clinton Hill),1/11/2020 0:58,Windows EVERYWHERE! W/D in unit - Super sunlit! No broker fee :),"$2,650 ",
 (Clinton Hill),1/11/2020 0:57,Under 4.1k✔ Balcony✔+ 2 Baths - no fee!,"$4,100 ",2br -
 (CLINTON HILL),1/11/2020 0:25,BALCONY – washer dryer — MARCH 1 – no fee ,"$4,100 ",2br -
 (Williamsburg - 1 block to DOMINOS PARK),1/11/2020 0:09,Luxury Elevator - 2bed/1ba - Private Terrace- gym/lounge/movie room,"$4,580 ",2br -
 (WILLAMSBURG),1/11/2020 0:04,3BED/2BATH IN WILLIAMSBURG - Laundry/Dishwasher/Balcony - MUST SEE,"$4,000 ",3br -
 (Bushwick),1/10/2020 23:56,Amazing LOFT - Bushwick - 25 min to city-gym/laudry/lounge,"$2,500 ",1br -
 (Ridgewood),1/10/2020 23:51,AMAZING - 3bed DUPLEX with Private Yard - W/D In Unit,"$2,870 ","3br -
                    1000ft"
" (Kensington, Bk)",1/10/2020 23:30,4 bed room for rent,"$3,500 ","4br -
                    1900ft"
 (Bed Stuy),1/10/2020 23:15,"Newly Renovated 2 Bed, 2 Bath w/ In Unit Laundry!","$2,600 ",2br -
 (Williamsburg),1/10/2020 23:01,Williamsburg 3 bed/1.5 Bath with Two Terraces and High Ceiling,"$4,000 ",3br -
 (Park Slope),1/10/2020 22:36,"Renovated, Modern 1 BR in Great Location","$2,700 ",1br -
 (Fort Greene),1/10/2020 22:09,Beautiful Sunny 1BR Apt by Fort Greene Park,"$2,650 ",1br -
 (Brooklyn),1/10/2020 22:00,"No fee Beautifully renovated 2 Bdrm, 1 bath 1/2 block from train","$3,200 ",2br -
 (Bed Stuy),1/10/2020 21:57,Spacious 3 Bed in the Heart of Bed Stuy,"$2,700 ",3br -
 (Fort Greene),1/10/2020 21:47,Spacious 1 Bedroom in Prime Location,"$2,750 ",1br -
 (Bushwick),1/10/2020 21:39,3 Bedroom in Bushwick,"$2,700 ",3br -
 (Canarsie),1/10/2020 21:36,Spacious 2 bedroom,"$1,950 ",2br -
 (Bushwick),1/10/2020 21:19,2 bedrooms near L&M train,"$1,950 ","2br -
                    960ft"
 (Northern Bed-Stuy between G and JMZ at Myrtle),1/10/2020 21:14,2/1 - Rent-stabilized 2bed loft (MOVIE THEATER/GYM/ROOF) J/M/Z,"$3,000 ","2br -
                    850ft"
 (Flatbush),1/10/2020 20:36,"Brand New Studio, Elevator, Gym, Co-working Space","$1,800 ",1br -
 (Park Slope),1/10/2020 20:33,$2500/1 br-sep kitchen;Park Slope,"$2,500 ",1br -
 (East New York @ 3 Pennsylvania station),1/10/2020 20:27,"Nice spacious 3 bedroom, Great deal!","$2,199 ",3br -
 (Park Slop; 1Month Broker Fee),1/10/2020 19:50,"Sunny, Charming 1BR, Open Kitchen/Full Bathroom; Park Slope","$2,155 ",1br -
 (Williamsburg),1/10/2020 19:33,NO FEE & Free Rent in January - Williamsburg Penthouse Studio!,"$3,065 ",
 (Redhook),1/10/2020 19:29,Large 2 bedroom duplex condo style unit w/ available garage/parking,"$2,385 ","2br -
                    1200ft"
 (Park Slope - Prime),1/10/2020 19:28,Beautifully Renovated 1 Bed 1 Bath SUNNY apartment,"$2,989 ",1br -
 (Brooklyn),1/10/2020 19:14,NO FEE STUDIO WITH WASHER AND DRYER IN UNIT,"$2,314 ",
" (Gowanus, Carroll Gardens, Park Slope, Prospect Heights)",1/10/2020 19:13,BROOKLYN NO FEE▶ GOWANUS / CARROLL GARDENS OUTDOOR TERRACE..PETS OK,"$4,600 ","2br -
                    1100ft"
" (Bushwick @ Gates J,Z)",1/10/2020 18:38,"Spacious Sun lit basic 3 bedroom , no fee.","$2,499 ",3br -
 (Brooklyn),1/10/2020 18:25,Red Hook 1 Bedroom w/ extra room for office,"$1,799 ",
 (Mill Basin),1/10/2020 18:25,"Very nice spacious 2 bedroom, Balcony! Private house!","$2,199 ",2br -
" (Prospect Park South @ Church Ave B, Q Trains)",1/10/2020 18:13,SPACIOUS 2BR RIGHT OFF PROSPECT PARK,"$2,385 ",2br -
