area,date,description,price,size
 (CORONA QUEENS NY),1/27/2020 16:47,"CUARTOS CRANDES DISPONIBLES : CORONA,WOODSIDE,ALTO MANHATTAN",$800 ,1br -
 (WOODHAVEN),1/27/2020 16:45,1 FAMILY HOUSE WITH BSMT & backyard,"$2,500 ","3br -
                    1250ft"
" (Astoria, Ditmars Blvd)",1/27/2020 16:15,"Beautiful, Renovated 2 Bdrm - Off Ditmars Blvd","$2,600 ",2br -
 (Middle Village),1/27/2020 16:04,$1500– Apartment for rent all included!,"$1,500 ",1br -
 (Astoria / Ditmars),1/27/2020 16:03,*No Fee* Sunny 3 Bed 2 Bath W/ Laundry + City Views Near N & W Tra,"$3,550 ",3br -
 (Rego Park/ Forest Hills),1/27/2020 16:02,Beautiful Renovated 2 Bed Apt in Rego Park Near M & R Trains,"$2,214 ",2br -
 (Jackson Heights),1/27/2020 15:33,Jackson Heights 1 bed/1 bath - February Free - No Broker Fee,"$1,715 ","1br -
                    650ft"
 (Astoria),1/27/2020 15:28,No Fee* Gorgeous 1 Bed in ASTORIA WATER FRONT *3 Months Free*,"$2,404 ",1br -
 (Astoria near Broadway),1/27/2020 15:19,XL 1 BR Apartment -- Just off Broadway -- *Great Deal! See Details*,"$1,800 ",1br -
 (OZONE PARK),1/27/2020 15:07,3 BEDROOM APARTMENT FOR RENT,"$2,400 ",3br -
 (Flushing),1/27/2020 15:05,Brand New Spacious 3 Bedroom 1.5 Bath Apartment 2nd Floor For Rent,"$2,500 ",3br -
 (Bayside),1/27/2020 14:48,ID:1366679 Sunny and Spacious Apartment for Rent in Bay Terrace,"$1,500 ",1br -
 (SUNNYSIDE),1/27/2020 14:40,PETS OK! ** 1 BEDROOM ** 7 TRAIN & SHOPPING,"$1,965 ",1br -
 (Richmond hill),1/27/2020 14:38,Beautiful ** 2 Bedroom 1 Bath ** Updated Kitchen A train,"$1,950 ",2br -
 (St Albans),1/27/2020 14:30,Beautiful house for rent,"$2,650 ",
 (Rosedale Queens),1/27/2020 14:28,1BR 1BA,"$1,200 ",1br -
 (Ridgewood),1/27/2020 14:07,Newly Renovated 3 bedroom,"$2,650 ","3br -
                    1000ft"
 (Rosedale Queens),1/27/2020 14:01,3br 1.5 ba,"$2,400 ",3br -
 (Sunnyside),1/27/2020 13:58,****** new ****** SKYLINE 3 BEDROOM \/ NORTH SIDE,"$3,000 ",3br -
 (Kew Gardens),1/27/2020 13:36,No Fee* Luxury 2 Bed 2 Bath 3 Balconies w/ Laundry in Unit & Balco,"$2,875 ",2br -
 (Ridgewood/ Glendale/ Fresh Pond),1/27/2020 13:34,No Fee* Gorgeous Renovated 2 Bed w/ Backyard Access,"$2,000 ",2br -
 (Astoria),1/27/2020 13:26,*** Washer dryer *** Gut Renovated *** Astoria Park views ***,"$2,799 ","2br -
                    950ft"
 (Astoria),1/27/2020 13:23,*** King size bedrooms *** Great natural light *** Small pets OK ***,"$2,600 ","3br -
                    950ft"
 (Astoria),1/27/2020 13:22,*** Luxury building *** Near subway*** NO FEE ***,"$2,549 ",1br -
 (Sunnyside),1/27/2020 13:21,***Beautiful 1 Bedroom*** NO FEE,"$2,000 ",1br -
 (Astoria),1/27/2020 13:00,Available Now! -- King Sized Bed -- Absolutely No Fee! -- Chefs Kitche,"$2,795 ","1br -
                    664ft"
 (Bay Ridge),1/27/2020 12:56,SPACIOUS 1 Bedroom IN BAY RIDGE!,"$2,095 ",900ft
 (Douglaston),1/27/2020 12:44,Renovated 2 Br* Galley Kitchen* Amazing Sun Exposure!,"$2,300 ",2br -
 (Astoria),1/27/2020 12:35,Beautiful 1BR/balcony/laundry/parking in a new building - 30TH Ave,"$1,975 ",1br -
 (Astoria),1/27/2020 12:28,_Astoria Studio 23rd st and 21st ave_All utilities included_,"$1,500 ",600ft
 (Ridgewood),1/27/2020 12:25,Super Sick 3BR pad on Fairview! Ave!,"$2,650 ",3br -
 (Fresh. Meadows / Flushing),1/27/2020 12:25,"Newly  Master bed 1fl./Patio/Garage,160st/65av.Utilities Included","$2,800 ",3br -
 (Astoria),1/27/2020 12:24,Available Now! -- King Sized Bed -- Absolutely No Fee! -- Chefs Kitche,"$2,490 ","1br -
                    664ft"
 (Astoria),1/27/2020 12:24,GUT RENO---MASSIVE 2 BED--PARKING---PRIME ASTORIA,"$2,499 ","2br -
                    1000ft"
 (Jackson Heights/  Elmhurst / Corona),1/27/2020 12:05,"Gorgeous STUDIO in Jackson Heights!!!! **Near 7, M & R Trains ! **","$1,563 ",
 (WHITESTONE),1/27/2020 12:00,"BEAUTIFUL 3BED WITH WOOD FLOOR, HEAT INC.","$2,200 ",3br -
 (Ridgewood),1/27/2020 11:54,Ridiculously Sick 1BR Pad on Myrtle Ave!,"$2,800 ",1br -
 (near #7 train),1/27/2020 11:50,"$2,5oo ~ 3Bed 1Bath ~ 1st Floor",$25 ,"3br -
                    1100ft"
 (Fresh Meadows),1/27/2020 11:48,4 Bed... Great Location... New Reno... Bright... Massive...,"$2,498 ",4br -
 (FLUSHING),1/27/2020 11:47,BEAUTIFUL 1BED WITH HEAT INC. CLOSE LIRR STATION. PARKING AVAILABLE.,"$1,595 ",1br -
 (Astoria / 30th Avenue),1/27/2020 11:41,*No Fee* Spacious Renovated 1 Bed 1 Bath *Astoria* Near N & W Trains,"$2,250 ",1br -
 (WHITESTONE),1/27/2020 11:41,"BEAUTIFUL 1BED WITH NEW KIT, BIG LIV/BED, HEAT INC. CLOSE PARK.","$1,595 ",1br -
 (Corona),1/27/2020 11:40,NEW RENO... 3 AMAZING BEDROOM... BRIGHT... CLOSE TO ALL...,"$2,450 ",3br -
" (Bayside, NY)",1/27/2020 11:39,One bedroom apartment,"$1,700 ",1br -
 (Astoria),1/27/2020 11:36,NO FEE--LUX 1 BED---GYM--ROOF DECK---7 MIN TO MIDTOWN,"$2,549 ","1br -
                    650ft"
 (20mins to Midtown),1/27/2020 11:25,"$2,15o 2BR w/Rooftop+Laundry+Elevator",$1 ,"2br -
                    1000ft"
 (20mins to Midtown),1/27/2020 11:24,"$2,2oo 3Bed 1Bath",$2 ,"3br -
                    1000ft"
 (Briarwood / Kew Gardens / Forest Hills / Rego Park),1/27/2020 11:17,"lovely !! ( Studio ) Utilities Included, E/F Train / Elevator/Laundry","$1,549 ",
 (Astoria),1/27/2020 11:13,Beautiful two bedroom in Astoria/Long Island City border,"$2,490 ",
 (Bayside),1/27/2020 11:12,"Large 3Br 2Bth, Move in condition","$2,550 ","3br -
                    1250ft"
 (FLUSHING),1/27/2020 11:09,$1950/2 BDRM/1ST MONTH RENT FREE/LARGE RENOVATED OFF SAFFORD AVE,"$1,950 ",2br -
 (Flushing),1/27/2020 11:07,SPACIOUS 1Bed in the Heart of FLUSHING!  MUST SEE!,"$1,643 ",1br -
" (Bayside near Bayside LIRR, Douglaston and Little Neck)",1/27/2020 11:07,"2BRnearBAYSIDE LIRR,GRANITkit/bathDR/LR,WOODflAbsentLL,BALCONY,DRIVEWY","$2,300 ",2br -
 (Flushing),1/27/2020 11:03,Apartments Available - 154-86 71st Ave,"$1,650 ",1br -
 (FOREST HILLS),1/27/2020 11:03,Apts Available-Imm Occupancy If Necessary,"$2,500 ","2br -
                    1050ft"
 (Forest Hills),1/27/2020 11:03,Apts Available-Imm Occupancy If Necessary,"$1,800 ","1br -
                    750ft"
" (Little Neck near LIRR, Douglaston and Great Neck)",1/27/2020 11:01,"HALF MONTH FEEnearLIRR,kit/STEELappl,1.5bthWDflrDRVWY,basemtWASH/Dyard","$2,600 ",3br -
 (Laurelton),1/27/2020 10:59,3 Bedroom 2 Bath Apartment for Rent,"$2,550 ",3br -
" (College Point near Malba,Whitestone and NORTH Flushing)",1/27/2020 10:58,"2BR,NEWkit/DW,NEWbth,PORCH,ATTIC,WOODflr,w/Heat,WaterCOOKING Gas","$1,900 ",2br -
 (Long Island City),1/27/2020 10:58,NO FEE – REDUCED RENTAL SUBLET! 23-10 Queens Plaza South – 37G Studio,"$2,575 ",
" (Bayside near LIRR, NORTH Flushing, Whitestone)",1/27/2020 10:57,"2 BR near LIRR,NEWkit/STEELappl/DISH,NEWbath,WOODflrWASHR/DRYRabsentLL","$2,100 ",2br -
 (Bayside near Douglaston and Little Neck),1/27/2020 10:55,"HALF MONTH FEE3BR,GRANITEkitSTEELappl,2NEWbaths/JACUZZI,WASH/DRY,ATTIC","$2,600 ",3br -
" (Bayside near Bayside LIRR, Douglaston and Little Neck)",1/27/2020 10:53,"1BR near BAYSIDE LIRR,RENOVATED Eat-in-kit,RENOVATED Bathroom,WOODflrs","$1,500 ",1br -
 (Bayside near NORTH Flushing and Whitestone),1/27/2020 10:52,"2BR,RENOVATED Eat-in-Kit,DR/HUGE LR with AirConditioner,WOODflrs,1Bath","$2,000 ",2br -
,1/27/2020 10:45,3 bed Astoria,"$2,800 ",3br -
,1/27/2020 10:44,2 bed Astoria,"$2,200 ",2br -
 (Astoria),1/27/2020 10:43,HUGE 2 BED 12FT CEILINGS PRIME ASTORIA LOCATION 2 MIN WALK TO TRAIN!!,"$2,350 ","2br -
                    800ft"
 (Queens + RENTES HOY),1/27/2020 10:42,~~~~~~~~~~~~~~~~~>>2CUARTOS APTO_____TODO INCLUIDO<~~,"$1,800 ",2br -
,1/27/2020 10:42,1 bed Astoria,"$1,800 ",1br -
" (College Point, Whitestone)",12/30/2019 15:10,3 beds 1 baths apartment for rent $2300,"$2,300 ",3br -
 (Astoria),12/30/2019 14:44,** LUXURY 1 BED ** STEINWAY ** 2 MIN TO SUBWAY** 30TH AVE ** NEW DEVEL,"$2,495 ",1br -
 (Astoria),12/30/2019 14:41,**RENOVATED** MASSIVE 3 BEDROOM ** PRIME ASTORIA** 1.5 BATH** 30TH AVE,"$2,999 ",3br -
 (Astoria),12/30/2019 14:37,** NO FEE** LUXURY 1 BED ** CITY VIEWS** ROOFDECK ** LAUNDRY ** 2 MIN,"$2,899 ",1br -
 (Astoria),12/30/2019 14:31,== NEW DEVELOPMENT == PRIVATE BALCONY == ALL UTILITIES INCLUDED== 2 BE,"$2,699 ",2br -
 (Jersey City),12/30/2019 14:30,Large/Bright 3bd/2bth - Parking available,"$2,195 ","3br -
                    1500ft"
 (QUEENS + NYC SKYLINE + WATER VIEW),12/30/2019 13:24,🔴 3Bd/2.5BA - Duplex Apartment!! w/ Parking<~~~~~~~~FACIL VEA HOY~🔴,"$3,000 ",3br -
 (Astoria),12/30/2019 13:18,------>>>> GRAND OPENING ---> No Fee Rentals ---> 2 Units Left!,"$2,495 ","1br -
                    600ft"
 (JAMAICA),12/30/2019 13:15,🔴 TODO INCLUIDO: APARTAMENTO 2CUARTOS... Facil Rentar<~~~~~~🔴,"$1,800 ",2br -
" (JAMAICA + E,J,Z trains)",12/30/2019 13:14,🔴 3CUARTOS````````````````````` |RENOVADO y FACIL RENTAR| ~~~~~~~,"$2,200 ",3br -
 (CyPRESS HiLLS + 1st floor + Jamaica Ave),12/30/2019 13:11,🔴3CUARTOS<~~~~~~~~~~~~~~~~~~ LiSTO RENTAR FACIL🎄🎄🎄,"$2,300 ",3br -
 (JAMAICA),12/30/2019 13:08,🚨🚨1CUARTO -ESTUDIO BEISMAN <~~~~~~~~~~~~~~~,"$1,150 ",1br -
 (EAST ELMHURST),12/30/2019 13:07,❤ 3CUARTOS APARTAMENTO DISPONIBLE~~~~~~no credito ok,"$2,600 ",3br -
 (Richmond Hill/ Ozone Park/ Woodhaven),12/30/2019 13:06,🔴2CUARTOS |NUEVO APARTAMENTO TODO INCLUYE|<~~~~~~~~~~~~~~~~~~~~,"$1,700 ",2br -
 (Woodside + Walk to 7 train),12/30/2019 13:05,🔴 RENT NOW: 1BdRM APT. ___________ |FACIL RENTAR|🔴,"$1,800 ",1br -
 (Jamaica Estates),12/30/2019 12:37,OPEN HOUSE! JAMAICA ESTATES RENO 2/2BTH/BALCONY  718-658-3597 $2499,"$2,499 ","2br -
                    1000ft"
 (Jamaica Estates),12/30/2019 12:37,RENTED! JAMAICA ESTATES RENO STUDIO IN LUXURY BUILDINGS $1599,"$1,599 ",550ft
 (BRIARWOOD),12/30/2019 12:37,BRIARWOOD- LUXURY RENOVATED STUDIOS APARTMENTS 7186583597,"$1,599 ",400ft
 (Flushing),12/30/2019 12:10,洗衣烘乾機 Flushing nice 2bed 2bath apt for rent close to subway station,"$2,250 ","2br -
                    700ft"
 (Astoria),12/30/2019 12:04,2 bed close to Astoria park great location.,"$2,300 ",2br -
 (Sunnyside),12/30/2019 11:58,"Gorgeous 1 Bedroom Large Elevater Building withW/D , Near 7 train","$1,725 ",1br -
 (Whitestone),12/30/2019 11:52,Spacious 3 br! Amazing Location**Super sunny! No Pets! Must See!,"$3,000 ",
" (Little Neck near LIRR, Douglaston and Bayside)",12/30/2019 11:50,"HALF MONTH FEEnearLIRR,kit/STEELappl,1.5bthWDflrDRVWY,basemtWASH/Dyard","$2,600 ",3br -
 (Maspeth),12/30/2019 11:49,Three bed room apartment,"$2,200 ",3br -
 (Flushing),12/30/2019 11:48,2 bed room apartment for rent,"$1,800 ",2br -
" (Bayside near LIRR, NORTH Flushing and Whitestone)",12/30/2019 11:48,"HALF MONTH FEE 3BRnearLIRR,GRANITEkit/DISH,DR/LR,2RENOVATEDbath,WOODfl","$2,200 ",3br -
 (Glen oaks),12/30/2019 11:47,Estudio para renta,"$1,200 ",1br -
" (Bayside near LIRR, Douglaston and Flushing)",12/30/2019 11:44,"ONLY$1000Fee1BR nr LIRR,NEWkit,NEWbath,WOODflr,HIGHhatLightingWASH/DRY","$1,575 ",1br -
" (Bayside near LIRR Station, NORTH Flushing and Whitestone)",12/30/2019 11:43,"HALF MONTH FEE,3BR near LIRR,RENOVATEDkit,NEWBath,WOODflrBIG Closets","$2,100 ",3br -
" (Douglaston near LIRR, LittleNeck, Bayside)",12/30/2019 11:38,"HALF FEE,HOUSEnearLIRR,KIT/DW,LR/Firepl,WDflr,YARD,BSMT/WASH/DRY,DOGok","$2,800 ",
 (Bayside near LIRR and NORTH Flushing),12/30/2019 11:35,"1BR near LIRR,Eat-in-Kit,LargeBath,WOODflr,with Heat and Hot Water","$1,600 ",1br -
 (Kew Gardens 83rd Ave.  Apt #4C),12/30/2019 11:15,"Gorgeous 1 Bedroom Large Elevated Building withW/D , Near E/F train","$1,700 ",1br -
 (Oakland Gardens),12/30/2019 11:12,Sunny and Spacious 2 Bedroom Apartment,"$2,300 ",2br -
 (Astoria),12/30/2019 11:03,Mint 1Br* Heart of Astoria! Balcony* Unit*Laundry* Pet Friendly!,"$1,900 ",1br -
 (FOREST HILLS),12/30/2019 11:02,Apts Available-Imm Occupancy If Necessary,"$2,500 ","2br -
                    1050ft"
 (Forest Hills),12/30/2019 11:01,Apts Available-Imm Occupancy If Necessary,"$1,800 ","1br -
                    750ft"
 (Flushing),12/30/2019 11:01,Apartments Available - 154-86 71st Ave,"$1,650 ",1br -
 (Astoria),12/30/2019 10:36,Lovely Fully Renovated 2Br GEM!!,"$2,400 ",2br -
 (Flushing),12/30/2019 9:21,Large 1br (Flex 2br) PRIME LOCATION IN FLUSHING,"$1,900 ","1br -
                    950ft"
 (Flushing),12/30/2019 8:11,"Newly renovated spacious 4 bed room apartment for rent,$2650","$2,650 ","4br -
                    1300ft"
 (Rosedale),12/30/2019 6:55,Beautiful Apt in Rosedale NY,"$2,600 ",3br -
" (Whitestone,Queens)",12/30/2019 6:28,2 bedroom apt,"$1,900 ",2br -
 (Forest Hills Gardens),12/30/2019 3:50,"3 Bed, 2 Bath, Newly Renovated","$4,500 ","3br -
                    2000ft"
 (Sunnyside),12/29/2019 23:09,Private furnished room in Sunnyside,$900 ,3br -
 (Ridgewood),12/29/2019 22:29,Spacious Newly Renovated Ridgewood 3 Bed,"$2,900 ",3br -
" (MURRAY HILL, FLUSHING)",12/29/2019 22:27,FANTASTIC RENOVATED SUNNY 3BR*1.5 BATH*QUIET BLOCK*GREAT LOCATION,"$2,425 ",3br -
 (Astoria),12/29/2019 22:03,4 ROOM APARTMENT FOR RENT,"$3,400 ","4br -
                    1500ft"
 (Maspeth),12/29/2019 21:23,Stellar///3bed///2bath///new///construction,"$2,800 ",3br -
 (astoria),12/29/2019 19:52,NO BROKER FEE 1 BEDROOM DISHWASHER LAUNDRY BIG CLOSETS NEAR BROADWAY,"$2,284 ","1br -
                    600ft"
 (astoria),12/29/2019 19:51,HUGE 2BEDROOM ELEVATOR LAUNDRY DISHWASHER 5 CLOSETS NEAR 30TH AVENUE,"$2,800 ","2br -
                    800ft"
 (Woodside),12/29/2019 18:46,Airy and bright 1 bedroom - For Feb/Mar 1st move in,"$1,900 ",1br -
" (Springfield Gardens, Jamaica)",12/29/2019 18:41,3 Bedroom apt in Private House,"$2,000 ","3br -
                    1400ft"
 (Woodhaven),12/29/2019 18:27,No Brokers Fee  1 Month Free * Gorgeous Spacious 1 Bed 1 Bath * Woodhaven * By J,"$1,721 ",1br -
 (Astoria),12/29/2019 18:26,No Brokers Fee * Renovated Spacious 2 Bed 1 Bath * By N  W Trains !,"$2,800 ",2br -
 (Bushwick / Ridgewood / Glendale),12/29/2019 18:24,No Brokers Fee  1.5 Months Free * Brand New 3 Bed 2 Bath * Ridgewood * By M/ L T,"$3,184 ",3br -
" (Briarwood, Kew Gardens, Forest Hills, Rego Park)",12/29/2019 18:06,"Cozy Style ( Studio ) W/ Elevator/Laundry, E/F Train, Pets Ok","$1,549 ",
 (Glendale queens NY),12/29/2019 16:48,"3 Bed 2 Bath Glendale,Pets OK, FOR RENT BY OWNER, NO BROKER FEES !!","$2,500 ","3br -
                    1400ft"
 (Astoria),12/29/2019 15:58,** Queen size bedrooms ** Upper Ditmars Area **,"$2,450 ","2br -
                    850ft"
 (Astoria),12/29/2019 15:57,** Grand opening ** LUX building *** Near subway **,"$2,500 ","1br -
                    600ft"
 (Astoria),12/29/2019 15:57,*** King size bedrooms *** Great natural light *** Small pets OK ***,"$2,600 ","3br -
                    950ft"
 (Ridgewood Queens),12/29/2019 15:31,Incredible Stabilized One Bedroom * Great Location * Spacious,"$1,175 ",1br -
 (Glen oaks),12/29/2019 14:41,Large studio,"$1,200 ",
 (MIDDLE VILLAGE),12/29/2019 14:40,"BEAUTIFUL APARTMENTS,HERMOSOS APARTAMENTOS","$2,300 ",3br -
 (Jackson Heights),12/29/2019 14:23,ID# 1362403 Freshly Painted 2 Bedroom Apartment,"$2,200 ",2br -
 (Corona),12/29/2019 14:03,Apartment for rent,"$2,900 ",3br -
 (Astoria),12/29/2019 13:43,------>>>> GRAND OPENING ---> No Fee Rentals ---> 2 Units Left!,"$2,495 ","1br -
                    600ft"
 (Astoria),12/29/2019 12:59,--->> Just Renovated! -- 6 Closet! --- New Flooring -- All Utilities I,"$2,650 ","2br -
                    900ft"
 (Flushing  140-16 34th Ave NY 11354),12/29/2019 12:36,"Flushing 34/Union St 1br:1930,2 bedroom:2300,3br2bth:$2600","$1,930 ",1br -
 (Bayside),12/29/2019 12:32,WHOLE HOUSE... BACKYARD... GREAT AREA... 3 BED... CLOSE TO ALL...,"$3,398 ",3br -
 (Bayside 16-70 Bell Blvd  NY 11360),12/29/2019 12:31,"Bay Terrace apartment 1 br:2000, 2br:2250.","$2,000 ",1br -
 (Whitestone),12/29/2019 12:30,ID#*1358248 Spacious 2 Bedroom Duplex For Rent.,"$2,750 ",2br -
 (Flushing  144-20 38th Ave  NY 11354),12/29/2019 12:27,Flushing 38Ave/Parsons Blvd 2BR:$2050.,"$2,050 ",2br -
 (Jackson Heights),12/29/2019 12:24,WONDERFUL APARTMENT... MASSIVE... 3 BED... BRIGHT...,"$2,298 ",3br -
 (Astoria),12/29/2019 12:14,Spacious 3 Bedroom Location!!,"$2,800 ",3br -
 (Flushing  137-02 Northern Blvd NY 11354),12/29/2019 12:13,"Flushing Northern Blvd/137th St studio1675, 1 br:$1925, 2br:$2225.","$1,675 ",
 (Astoria),12/29/2019 12:12,Lovely 1 Bedroom DITMARS Location,"$2,150 ",700ft
 (Whitestone  19-10 Parsons Blvd NY 11357),12/29/2019 12:06,Whitestone apartment studio $1600,"$1,600 ",
 (Astoria),12/29/2019 12:04,Beautiful 2 Bedroom,"$2,600 ",1000ft
 (South ozone park ny),12/29/2019 11:59,2 bedrooms apartment,"$1,900 ",2br -
 (Forest Hills / Rego Park / Kew Gardens),12/29/2019 11:26,No fee Like New one bedroom apt by owner,"$1,600 ","1br -
                    700ft"
" (Astoria, New York)",12/29/2019 11:15,2br - STUNNING RENOVATED SUPER SUNNY 2 BR GREAT CLOSET SPACE,"$2,400 ",2br -
,12/29/2019 11:14,NO FEE! LUXURY SPACIOUS 2 BR! BALCONY* ROOFTOP! SUBWAY ONE BLOCK!,"$2,900 ",2br -
 (LONG ISLAND CITY),12/29/2019 11:12,Fantastic 1br! N/W Trains*PAY ONLY ELECTRIC*Pets OK*Elevator+Laundry,"$2,100 ",1br -
" (ASTORIA, New York)",12/29/2019 11:10,SUPER SUNNY 1BR* FRONT BALCONY* PRIME LOCATION* LAUNDRY IN BUILDING,"$1,900 ",1br -
" (ASTORIA, New York)",12/29/2019 11:09,HUGE PREWAR KING SIZE BR ELEVATOR @30TH AVE &34TH ST..HEART OF ASTORIA,"$1,900 ",1br -
 (Kew Gardens),12/29/2019 10:43,Sunny and spacious Kew Gardens apt,"$2,500 ",3br -
 (Queens),12/29/2019 10:08,Beautiful Clean 3BR Townhouse very convenient to NYC,"$2,300 ","3br -
                    1396ft"
